code,service,time,from
RG000838925IS,InternationalLetter,2022-07-13T13:30:54+00:00,Pósthús Reykjanesbæ
RG000838939IS,InternationalLetter,na,na
RG000838942IS,InternationalLetter,2022-07-13T13:50:58+00:00,Pósthús Höfn
RG000838956IS,InternationalLetter,2022-07-13T13:55:51+00:00,Pósthús Kópavogi
RG000838960IS,InternationalLetter,2022-07-13T13:57:51+00:00,Pósthús Hagatorgi 1
RG000838973IS,InternationalLetter,2022-07-13T14:10:33+00:00,Pósthús Selfossi
RG000838987IS,InternationalLetter,2022-07-13T14:08:22+00:00,Pósthús Hagatorgi 1
RG000838995IS,InternationalLetter,na,na
RG000839007IS,InternationalLetter,na,na
CG004006701IS,InternationalParcel,na,na
RG000839015IS,InternationalLetter,2022-07-13T14:22:40+00:00,Pósthús Hagatorgi 1
RG000839024IS,InternationalLetter,2022-07-13T14:22:39+00:00,Pósthús Hagatorgi 1
RG000839038IS,InternationalLetter,2022-07-13T14:26:54+00:00,Pósthús Hagatorgi 1
RG000839041IS,InternationalLetter,na,na
RG000839055IS,InternationalLetter,na,na
RG000839069IS,InternationalLetter,na,na
RG000839072IS,InternationalLetter,na,na
RG000839086IS,InternationalLetter,na,na
RG000839090IS,InternationalLetter,2022-07-13T15:30:33+00:00,Pósthús Borgarnesi
RG000839109IS,InternationalLetter,na,na
RG000839112IS,InternationalLetter,2022-07-13T15:36:29+00:00,Pósthús Selfossi
RG000839126IS,InternationalLetter,2022-07-13T15:44:34+00:00,Pósthús Akureyri
RG000839130IS,InternationalLetter,2022-07-13T16:04:41+00:00,Pósthús Kópavogi
RG000839143IS,InternationalLetter,2022-07-13T16:22:00+00:00,Pósthús Hagatorgi 1
RG000839157IS,InternationalLetter,na,na
RG000839165IS,InternationalLetter,2022-07-13T16:22:32+00:00,Pósthús Þönglabakka 4
RG000839174IS,InternationalLetter,2022-07-13T16:24:15+00:00,Pósthús Höfðabakka 9 C
CG004006879IS,InternationalParcel,2022-04-12T11:59:11+00:00,Pósthús Höfðabakka 9 C
RG000839188IS,InternationalLetter,2022-07-13T16:56:33+00:00,Pósthús Hagatorgi 1
RG000839191IS,InternationalLetter,2022-07-13T16:58:20+00:00,Pósthús Síðumúla 3-5
RG000839205IS,InternationalLetter,2022-07-13T17:01:44+00:00,Pósthús Kópavogi
RG000839214IS,InternationalLetter,na,na
RG000839228IS,InternationalLetter,na,na
RG000839231IS,InternationalLetter,na,na
CG004006936IS,InternationalParcel,2022-04-12T12:47:30+00:00,Pósthús Síðumúla 3-5
CG004006940IS,InternationalParcel,2022-04-13T18:17:46+00:00,Póstmiðstöð
CG004006975IS,InternationalParcel,na,na
CG004007097IS,InternationalParcel,2022-04-12T10:49:22+00:00,Pósthús Hafnarfirði
CG004007211IS,InternationalParcel,na,na
CG004007375IS,InternationalParcel,2022-04-12T12:38:55+00:00,860
CG004007389IS,InternationalParcel,2022-04-12T12:38:55+00:00,860
CG004007401IS,InternationalParcel,2022-04-12T18:26:52+00:00,Póstmiðstöð
CG004007432IS,InternationalParcel,na,na
CG004007707IS,InternationalParcel,na,na
CG004007715IS,InternationalParcel,na,na
CG004007772IS,InternationalParcel,na,na
CG004007857IS,InternationalParcel,na,na
CG004007905IS,InternationalParcel,2022-04-12T14:49:27+00:00,Pósthús Síðumúla 3-5
CG004007976IS,InternationalParcel,2022-04-12T15:02:35+00:00,Pósthús Kópavogi
CG004008089IS,InternationalParcel,2022-04-12T15:27:33+00:00,Pósthús Síðumúla 3-5
CG004008101IS,InternationalParcel,2022-04-12T15:53:44+00:00,Pósthús Hvammstanga
CG004008203IS,InternationalParcel,na,na
CG004008322IS,InternationalParcel,na,na
CG004008340IS,InternationalParcel,2022-04-13T12:15:28+00:00,Pósthús Síðumúla 3-5
CG004008398IS,InternationalParcel,na,na
CG004008424IS,InternationalParcel,na,na
CG004008455IS,InternationalParcel,2022-04-12T18:25:20+00:00,Pósthús Vík
CG004008469IS,InternationalParcel,na,na
CG004008490IS,InternationalParcel,na,na
CG004008509IS,InternationalParcel,na,na
CG004008512IS,InternationalParcel,na,na
CG004008574IS,InternationalParcel,2022-04-13T14:05:00+00:00,Pósthús Höfðabakka 9 C
CG004008804IS,InternationalParcel,na,na
CG004008835IS,InternationalParcel,2022-04-13T10:33:03+00:00,Pósthús Síðumúla 3-5
CG004008866IS,InternationalParcel,2022-04-13T10:48:50+00:00,Pósthús Dalvík
CG004008906IS,InternationalParcel,2022-04-13T10:54:53+00:00,Pósthús Hafnarfirði
CG004009115IS,InternationalParcel,2022-04-13T12:15:42+00:00,Pósthús Síðumúla 3-5
CG004009169IS,InternationalParcel,na,na
CG004009230IS,InternationalParcel,na,na
CG004009314IS,InternationalParcel,na,na
CG004009362IS,InternationalParcel,2022-04-13T13:03:45+00:00,Pósthús Þönglabakka 4
CG004009464IS,InternationalParcel,2022-04-13T13:34:20+00:00,850
CG004009654IS,InternationalParcel,2022-04-13T14:45:16+00:00,Pósthús Hafnarfirði
CG004009800IS,InternationalParcel,na,na
CG004009889IS,InternationalParcel,2022-04-13T15:54:23+00:00,Pósthús Akureyri
CG004010003IS,InternationalParcel,na,na
CG004010025IS,InternationalParcel,na,na
CG004010082IS,InternationalParcel,2022-04-13T17:02:09+00:00,270
CG004010241IS,InternationalParcel,2022-04-19T18:44:01+00:00,Póstmiðstöð
CG004010272IS,InternationalParcel,na,na
CG004010414IS,InternationalParcel,na,na
CG004010445IS,InternationalParcel,2022-04-20T09:38:06+00:00,Pósthús Þönglabakka 4
CG004010533IS,InternationalParcel,2022-04-17T15:40:22+00:00,Póstbox Grímsbæ við Kramb
CG004010811IS,InternationalParcel,2022-04-19T10:25:53+00:00,Pósthús Selfossi
CG004010825IS,InternationalParcel,2022-04-19T11:03:38+00:00,850
CG004010873IS,InternationalParcel,2022-04-19T13:36:25+00:00,Pósthús Akureyri
CG004010895IS,InternationalParcel,na,na
CG004010961IS,InternationalParcel,na,na
CG004010975IS,InternationalParcel,na,na
CG004011043IS,InternationalParcel,na,na
CG004011105IS,InternationalParcel,2022-04-19T19:34:20+00:00,Póstmiðstöð
CG004011131IS,InternationalParcel,na,na
CG004011264IS,InternationalParcel,2022-04-19T10:22:13+00:00,Pósthús Húsavík
CG004011304IS,InternationalParcel,2022-04-19T10:52:48+00:00,Pósthús Ísafirði
CG004011410IS,InternationalParcel,2022-04-19T10:51:56+00:00,Pósthús Þönglabakka 4
CG004011471IS,InternationalParcel,2022-04-19T11:51:20+00:00,Pósthús Reykjanesbæ
CG004011525IS,InternationalParcel,na,na
CG004011613IS,InternationalParcel,2022-04-19T14:41:18+00:00,Pósthús Djúpavogi
CG004011689IS,InternationalParcel,2022-04-19T12:02:04+00:00,Pósthús Siglufirði
CG004011834IS,InternationalParcel,2022-04-26T11:30:52+00:00,Póstmiðstöð
CG004011905IS,InternationalParcel,2022-04-19T13:12:28+00:00,Pósthús Hafnarfirði
CG004012106IS,InternationalParcel,2022-04-19T13:54:14+00:00,Pósthús Hveragerði
CG004012123IS,InternationalParcel,2022-04-19T13:54:14+00:00,Pósthús Hveragerði
CG004012137IS,InternationalParcel,2022-04-19T13:54:14+00:00,Pósthús Hveragerði
CG004012145IS,InternationalParcel,2022-04-19T13:54:14+00:00,Pósthús Hveragerði
CG004012239IS,InternationalParcel,2022-04-19T14:38:32+00:00,210
CG004012450IS,InternationalParcel,2022-04-19T15:11:01+00:00,Pósthús Hveragerði
CG004012477IS,InternationalParcel,2022-04-19T15:22:20+00:00,Pósthús Síðumúla 3-5
CG004012551IS,InternationalParcel,2022-04-19T15:33:53+00:00,Pósthús Höfðabakka 9 C
CG004012605IS,InternationalParcel,na,na
CG004012684IS,InternationalParcel,2022-04-19T16:22:41+00:00,Pósthús Selfossi
CG004012707IS,InternationalParcel,2022-04-19T16:22:41+00:00,Pósthús Selfossi
CG004012738IS,InternationalParcel,2022-04-19T16:51:39+00:00,Pósthús Hafnarfirði
CG004012755IS,InternationalParcel,2022-04-19T16:55:05+00:00,Pósthús Akureyri
CG004012769IS,InternationalParcel,2022-04-19T16:55:25+00:00,Pósthús Hafnarfirði
CG004012826IS,InternationalParcel,2022-04-22T14:55:19+00:00,Pósthús Síðumúla 3-5
CG004013035IS,InternationalParcel,2022-04-22T13:40:54+00:00,Pósthús Hvammstanga
CG004013092IS,InternationalParcel,2022-04-20T12:43:27+00:00,Pósthús Síðumúla 3-5
CG004013101IS,InternationalParcel,2022-04-20T12:43:27+00:00,Pósthús Síðumúla 3-5
CG004020102IS,InternationalParcel,2022-04-26T17:00:56+00:00,210
CG004013217IS,InternationalParcel,2022-04-22T14:23:53+00:00,Póstmiðstöð
CG004020116IS,InternationalParcel,2022-05-03T14:48:04+00:00,Póstmiðstöð
CG004020133IS,InternationalParcel,na,na
CG004013367IS,InternationalParcel,2022-04-20T16:35:52+00:00,Póstmiðstöð
CG004013375IS,InternationalParcel,2022-04-20T20:49:42+00:00,Póstmiðstöð
CG004013512IS,InternationalParcel,2022-04-20T15:33:21+00:00,270
CG004013588IS,InternationalParcel,2022-04-22T11:15:04+00:00,Póstmiðstöð
CG004030127IS,InternationalParcel,na,na
CG004013645IS,InternationalParcel,2022-04-22T11:15:06+00:00,Póstmiðstöð
CG004013676IS,InternationalParcel,2022-04-20T12:30:16+00:00,Pósthús Þönglabakka 4
CG004013680IS,InternationalParcel,2022-04-22T11:15:07+00:00,Póstmiðstöð
CG004030250IS,InternationalParcel,2022-05-06T11:10:58+00:00,Pósthús Reykjanesbæ
CG004030317IS,InternationalParcel,na,na
CG004013821IS,InternationalParcel,2022-04-22T11:15:09+00:00,Póstmiðstöð
CG004013937IS,InternationalParcel,2022-04-22T11:58:50+00:00,Póstmiðstöð
CG004013999IS,InternationalParcel,2022-04-20T13:55:47+00:00,Pósthús Ísafirði
CG004040067IS,InternationalParcel,na,na
CG004040172IS,InternationalParcel,2022-05-17T10:36:18+00:00,Pósthús Hagatorgi 1
CG004040212IS,InternationalParcel,na,na
CG004014257IS,InternationalParcel,2022-04-22T14:56:15+00:00,Pósthús Húsavík
CG004014274IS,InternationalParcel,na,na
CG004014288IS,InternationalParcel,2022-04-20T15:34:17+00:00,Pósthús Hagatorgi 1
CG004040345IS,InternationalParcel,na,na
CG004040402IS,InternationalParcel,2022-05-30T11:29:03+00:00,Pósthús Selfossi
CG004014478IS,InternationalParcel,na,na
CG004014570IS,InternationalParcel,na,na
CG004040654IS,InternationalParcel,2022-05-17T13:09:22+00:00,Pósthús Hagatorgi 1
CG004040708IS,InternationalParcel,2022-05-17T13:24:18+00:00,Pósthús Síðumúla 3-5
CG004040725IS,InternationalParcel,na,na
CG004014813IS,InternationalParcel,2022-04-22T16:51:03+00:00,Póstmiðstöð
CG004014889IS,InternationalParcel,na,na
CG004040858IS,InternationalParcel,2022-05-17T14:20:54+00:00,Pósthús Akureyri
CG004015059IS,InternationalParcel,2022-04-22T11:41:43+00:00,Pósthús Grindavík
CG004015102IS,InternationalParcel,na,na
CG004015133IS,InternationalParcel,2022-04-22T09:44:01+00:00,Pósthús Hafnarfirði
CG004015204IS,InternationalParcel,2022-04-25T16:40:10+00:00,Pósthús Kópavogi
CG004041249IS,InternationalParcel,2022-05-17T17:11:54+00:00,Pósthús Höfðabakka 9 C
CG004041252IS,InternationalParcel,na,na
CG004015297IS,InternationalParcel,2022-04-22T15:03:33+00:00,Pósthús Reykjanesbær
CG004041323IS,InternationalParcel,2022-05-18T15:32:49+00:00,Pósthús Reykjanesbæ
CG004041345IS,InternationalParcel,2022-05-20T08:43:53+00:00,Pósthús Selfossi
CG004015385IS,InternationalParcel,2022-04-22T11:17:53+00:00,Pósthús Hagatorgi 1
CG004015442IS,InternationalParcel,na,na
CG004041425IS,InternationalParcel,2022-05-18T15:40:48+00:00,Póstmiðstöð
CG004041473IS,InternationalParcel,2022-05-18T16:59:15+00:00,Póstmiðstöð
CG004015527IS,InternationalParcel,2022-04-22T12:17:38+00:00,Pósthús Hagatorgi 1
CG004015544IS,InternationalParcel,2022-04-22T12:35:10+00:00,Pósthús Kópavogi
CG004041513IS,InternationalParcel,2022-05-18T10:10:13+00:00,Pósthús Síðumúla 3-5
CG004015592IS,InternationalParcel,2022-04-22T12:48:57+00:00,Pósthús Vopnafirði
CG004015601IS,InternationalParcel,2022-04-22T12:50:41+00:00,Pósthús Kópavogi
CG004015629IS,InternationalParcel,2022-04-22T14:58:16+00:00,Póstbox Barónsstíg við Ex
CG004015703IS,InternationalParcel,na,na
CG004015734IS,InternationalParcel,2022-04-22T13:30:41+00:00,Póstmiðstöð
CG004041717IS,InternationalParcel,2022-05-18T11:37:38+00:00,Pósthús Kópavogi
CG004015751IS,InternationalParcel,2022-04-22T13:20:43+00:00,Pósthús Síðumúla 3-5
CG004041751IS,InternationalParcel,2022-05-18T14:19:22+00:00,Pósthús Hagatorgi 1
CG004015796IS,InternationalParcel,2022-04-22T13:40:47+00:00,Pósthús Þönglabakka 4
CG004041779IS,InternationalParcel,na,na
CG004015972IS,InternationalParcel,2022-04-22T14:14:47+00:00,Pósthús Sauðárkróki
CG004042010IS,InternationalParcel,2022-05-18T13:40:09+00:00,Pósthús Hagatorgi 1
CG004016054IS,InternationalParcel,na,na
CG004016139IS,InternationalParcel,2022-04-22T14:40:03+00:00,Pósthús Vestmannaeyjum
CG004042125IS,InternationalParcel,2022-05-18T13:54:41+00:00,Pósthús Höfðabakka 9 C
CG004042200IS,InternationalParcel,2022-05-18T14:17:19+00:00,Pósthús Þönglabakka 4
CG004016258IS,InternationalParcel,na,na
CG004042275IS,InternationalParcel,2022-05-19T10:30:45+00:00,Pósthús Kópavogi
CG004042301IS,InternationalParcel,na,na
CG004016394IS,InternationalParcel,2022-04-22T15:53:49+00:00,Pósthús Reykjanesbæ
CG004042425IS,InternationalParcel,na,na
CG004016448IS,InternationalParcel,2022-04-22T16:02:07+00:00,Pósthús Þönglabakka 4
CG004042479IS,InternationalParcel,2022-05-18T16:27:49+00:00,Pósthús Hagatorgi 1
CG004016641IS,InternationalParcel,na,na
CG004016669IS,InternationalParcel,2022-04-24T14:06:37+00:00,Póstbox Tjarnarvöllum Hf.
CG004016672IS,InternationalParcel,2022-04-24T14:08:37+00:00,Póstbox Tjarnarvöllum Hf.
CG004042669IS,InternationalParcel,2022-05-19T16:10:36+00:00,Pósthús Selfossi
CG004042712IS,InternationalParcel,2022-05-19T09:58:20+00:00,Pósthús Kópavogi
CG004016788IS,InternationalParcel,2022-04-25T16:00:06+00:00,Póstmiðstöð
CG004042805IS,InternationalParcel,na,na
CG004042920IS,InternationalParcel,na,na
CG004042947IS,InternationalParcel,2022-05-30T17:16:45+00:00,Póstbox Barónsstíg við Ex
CG004042978IS,InternationalParcel,2022-05-19T11:34:14+00:00,Pósthús Akranesi
CG004043117IS,InternationalParcel,na,na
CG004017196IS,InternationalParcel,na,na
CG004017222IS,InternationalParcel,na,na
CG004017236IS,InternationalParcel,na,na
CG004043236IS,InternationalParcel,2022-05-19T13:57:14+00:00,Pósthús Höfðabakka 9 C
CG004017267IS,InternationalParcel,na,na
CG004043298IS,InternationalParcel,2022-05-19T15:20:38+00:00,Póstbox Mjódd við Nettó
CG004043338IS,InternationalParcel,2022-06-01T13:49:47+00:00,Pósthús Höfðabakka 9 C
CG004043369IS,InternationalParcel,na,na
CG004017488IS,InternationalParcel,na,na
CG004043430IS,InternationalParcel,2022-05-19T15:14:08+00:00,Pósthús Akureyri
CG004017559IS,InternationalParcel,2022-04-25T12:23:27+00:00,Pósthús Síðumúla 3-5
CG004017620IS,InternationalParcel,na,na
CG004017655IS,InternationalParcel,na,na
CG004017718IS,InternationalParcel,na,na
CG004043718IS,InternationalParcel,2022-05-19T16:58:48+00:00,Pósthús Kópavogi
CG004017770IS,InternationalParcel,2022-04-25T13:30:13+00:00,Pósthús Akureyri
CG004017810IS,InternationalParcel,na,na
CG004043783IS,InternationalParcel,2022-05-19T17:08:10+00:00,Pósthús Kópavogi
CG004017837IS,InternationalParcel,na,na
CG004043806IS,InternationalParcel,na,na
CG004043871IS,InternationalParcel,na,na
CG004017925IS,InternationalParcel,2022-04-25T14:01:28+00:00,Pósthús Akureyri
CG004017942IS,InternationalParcel,2022-04-25T14:15:53+00:00,Pósthús Reykjanesbæ
CG004043908IS,InternationalParcel,2022-05-20T14:32:29+00:00,Pósthús Egilsstöðum
CG004018024IS,InternationalParcel,2022-04-25T14:31:15+00:00,Pósthús Kópavogi
CG004018126IS,InternationalParcel,2022-04-25T14:57:59+00:00,Pósthús Hagatorgi 1
CG004018157IS,InternationalParcel,2022-04-25T15:21:50+00:00,Pósthús Vestmannaeyjum
CG004044205IS,InternationalParcel,2022-05-20T13:36:26+00:00,Pósthús Höfðabakka 9 C
CG004018302IS,InternationalParcel,2022-04-25T15:59:18+00:00,Pósthús Þönglabakka 4
CG004018316IS,InternationalParcel,2022-04-25T16:01:01+00:00,Pósthús Reykjanesbæ
CG004044333IS,InternationalParcel,na,na
CG004044395IS,InternationalParcel,na,na
CG004044404IS,InternationalParcel,na,na
CG004044466IS,InternationalParcel,2022-05-20T14:42:21+00:00,Pósthús Kópavogi
CG004044470IS,InternationalParcel,na,na
CG004044545IS,InternationalParcel,2022-05-23T14:06:43+00:00,Póstmiðstöð
CG004044568IS,InternationalParcel,2022-05-23T14:05:51+00:00,Póstmiðstöð
CG004018625IS,InternationalParcel,2022-04-26T13:02:06+00:00,210
CG004044625IS,InternationalParcel,2022-05-20T14:09:15+00:00,Pósthús Hagatorgi 1
CG004044639IS,InternationalParcel,2022-05-20T14:07:32+00:00,Pósthús Hagatorgi 1
CG004018829IS,InternationalParcel,2022-04-26T11:27:08+00:00,Pósthús Höfðabakka 9 C
CG004018846IS,InternationalParcel,na,na
CG004018877IS,InternationalParcel,na,na
CG004018885IS,InternationalParcel,na,na
CG004018894IS,InternationalParcel,2022-04-26T11:50:46+00:00,Pósthús Þönglabakka 4
CG004018951IS,InternationalParcel,na,na
CG004018965IS,InternationalParcel,na,na
CG004019002IS,InternationalParcel,na,na
CG004019016IS,InternationalParcel,na,na
CG004044979IS,InternationalParcel,na,na
CG004019033IS,InternationalParcel,na,na
CG004019078IS,InternationalParcel,2022-04-26T17:15:09+00:00,Póstmiðstöð
CG004045020IS,InternationalParcel,2022-05-21T02:00:38+00:00,Póstbox Keflavík við póst
CG004019081IS,InternationalParcel,2022-04-27T11:08:28+00:00,Póstmiðstöð
CG004019121IS,InternationalParcel,na,na
CG004019135IS,InternationalParcel,na,na
CG004019152IS,InternationalParcel,na,na
CG004019206IS,InternationalParcel,na,na
CG004019210IS,InternationalParcel,na,na
CG004019237IS,InternationalParcel,na,na
CG004045170IS,InternationalParcel,na,na
CG004045183IS,InternationalParcel,2022-05-21T14:40:37+00:00,Póstbox Bíldshöfða við Hú
CG004019254IS,InternationalParcel,na,na
CG004019268IS,InternationalParcel,na,na
CG004045210IS,InternationalParcel,na,na
CG004019285IS,InternationalParcel,na,na
CG004045245IS,InternationalParcel,2022-06-20T12:10:38+00:00,Pósthús Hagatorgi 1
CG004045254IS,InternationalParcel,2022-05-23T12:06:34+00:00,Pósthús Höfðabakka 9 C
CG004019325IS,InternationalParcel,na,na
CG004019342IS,InternationalParcel,na,na
CG004019360IS,InternationalParcel,na,na
CG004045308IS,InternationalParcel,na,na
CG004019373IS,InternationalParcel,na,na
CG004019395IS,InternationalParcel,na,na
CG004019400IS,InternationalParcel,na,na
CG004019427IS,InternationalParcel,na,na
CG004019444IS,InternationalParcel,na,na
CG004019458IS,InternationalParcel,na,na
CG004019461IS,InternationalParcel,na,na
CG004045427IS,InternationalParcel,na,na
CG004019492IS,InternationalParcel,na,na
CG004045444IS,InternationalParcel,2022-05-23T09:52:14+00:00,Pósthús Hagatorgi 1
CG004019546IS,InternationalParcel,na,na
CG004045532IS,InternationalParcel,2022-05-23T09:52:14+00:00,Pósthús Hagatorgi 1
CG004045546IS,InternationalParcel,2022-05-23T09:52:14+00:00,Pósthús Hagatorgi 1
CG004045550IS,InternationalParcel,2022-05-23T09:52:14+00:00,Pósthús Hagatorgi 1
CG004019625IS,InternationalParcel,na,na
CG004019665IS,InternationalParcel,na,na
CG004019679IS,InternationalParcel,2022-04-26T16:39:23+00:00,Pósthús Hagatorgi 1
CG004045651IS,InternationalParcel,2022-05-23T15:30:50+00:00,Pósthús Blönduósi
CG004019740IS,InternationalParcel,na,na
CG004045736IS,InternationalParcel,2022-05-23T10:57:40+00:00,Pósthús Þönglabakka 4
CG004045740IS,InternationalParcel,2022-05-23T18:04:17+00:00,Póstmiðstöð
CG004045784IS,InternationalParcel,na,na
CG004019890IS,InternationalParcel,2022-04-26T16:24:25+00:00,Pósthús Þönglabakka 4
CG004045855IS,InternationalParcel,na,na
CG004019965IS,InternationalParcel,na,na
CG004045912IS,InternationalParcel,2022-05-24T14:22:03+00:00,Pósthús Reykjanesbær
CG004019991IS,InternationalParcel,na,na
CG004046008IS,InternationalParcel,2022-05-24T21:14:31+00:00,Póstbox Mosfellsbær við A
CG004020102IS,InternationalParcel,2022-04-26T17:00:56+00:00,210
CG004020116IS,InternationalParcel,2022-05-03T14:48:04+00:00,Póstmiðstöð
CG004046039IS,InternationalParcel,na,na
CG004020133IS,InternationalParcel,na,na
CG004046087IS,InternationalParcel,na,na
CG004046189IS,InternationalParcel,2022-05-23T13:03:33+00:00,Pósthús Þönglabakka 4
CG004046201IS,InternationalParcel,na,na
CG004046277IS,InternationalParcel,2022-05-24T16:53:24+00:00,Pósthús Hafnarfirði
CG004046303IS,InternationalParcel,na,na
CG004020460IS,InternationalParcel,2022-04-27T12:09:19+00:00,210
CG004020473IS,InternationalParcel,na,na
CG004046419IS,InternationalParcel,2022-05-23T14:21:31+00:00,Pósthús Höfðabakka 9 C
CG004046436IS,InternationalParcel,na,na
CG004046498IS,InternationalParcel,2022-05-23T14:42:17+00:00,Pósthús Reykjanesbæ
CG004046507IS,InternationalParcel,na,na
CG004046515IS,InternationalParcel,na,na
CG004046541IS,InternationalParcel,na,na
CG004046569IS,InternationalParcel,2022-05-23T15:04:43+00:00,Pósthús Síðumúla 3-5
CG004046572IS,InternationalParcel,2022-05-25T11:11:32+00:00,Pósthús Höfðabakka 9 C
CG004046612IS,InternationalParcel,2022-05-23T15:28:12+00:00,Pósthús Akranesi
CG004020717IS,InternationalParcel,na,na
CG004020725IS,InternationalParcel,2022-04-28T15:55:25+00:00,Póstmiðstöð
CG004020734IS,InternationalParcel,2022-04-27T10:58:46+00:00,Pósthús Akureyri
CG004020765IS,InternationalParcel,2022-04-28T17:04:06+00:00,Póstmiðstöð
CG004020805IS,InternationalParcel,2022-04-28T15:55:04+00:00,Póstmiðstöð
CG004046816IS,InternationalParcel,na,na
CG004020898IS,InternationalParcel,2022-04-27T12:43:11+00:00,Pósthús Kópavogi
CG004020915IS,InternationalParcel,2022-04-28T15:31:58+00:00,Póstmiðstöð
CG004046878IS,InternationalParcel,2022-05-24T15:26:24+00:00,Pósthús Síðumúla 3-5
CG004046895IS,InternationalParcel,2022-05-24T14:16:43+00:00,Pósthús Hagatorgi 1
CG004046921IS,InternationalParcel,na,na
CG004020986IS,InternationalParcel,na,na
CG004046949IS,InternationalParcel,2022-05-24T15:17:40+00:00,Pósthús Borgarnesi
CG004021023IS,InternationalParcel,2022-04-28T17:02:55+00:00,Póstmiðstöð
CG004021045IS,InternationalParcel,2022-04-27T11:54:04+00:00,Pósthús Hafnarfirði
CG004021054IS,InternationalParcel,2022-05-03T16:34:01+00:00,Pósthús Akureyri
CG004021108IS,InternationalParcel,2022-04-27T14:16:26+00:00,Pósthús Hagatorgi 1
CG004047238IS,InternationalParcel,2022-05-24T12:20:18+00:00,Pósthús Höfn
CG004021332IS,InternationalParcel,2022-04-27T13:35:14+00:00,Pósthús Selfossi
CG004021350IS,InternationalParcel,2022-04-28T15:30:02+00:00,Póstmiðstöð
CG004047365IS,InternationalParcel,na,na
CG004047374IS,InternationalParcel,2022-05-24T12:13:53+00:00,Pósthús Síðumúla 3-5
CG004021425IS,InternationalParcel,2022-04-28T13:21:05+00:00,Póstmiðstöð
CG004047388IS,InternationalParcel,2022-05-24T12:10:54+00:00,Pósthús Síðumúla 3-5
CG004021448IS,InternationalParcel,2022-04-27T18:23:43+00:00,Pósthús Vík
CG004047516IS,InternationalParcel,2022-05-24T13:18:04+00:00,Pósthús Hagatorgi 1
CG004021638IS,InternationalParcel,na,na
